imię,płeć,liczba,prob
MIA,KOBIETA,9600,0.00043068161466844156
NICOLE,KOBIETA,9500,0.0004261953478489786
FRANCISZKA,KOBIETA,9361,0.00041995943696992516
IVANNA,KOBIETA,9334,0.0004187481449286702
MARIANA,KOBIETA,9189,0.0004122430580404489
NICOLA,KOBIETA,9040,0.0004055585204794491
NATASZA,KOBIETA,9003,0.00040389860175624783
LIWIA,KOBIETA,8869,0.0003978870042181675
JOWITA,KOBIETA,8731,0.00039169595600730865
VIRA,KOBIETA,8492,0.00038097377830879225
VANESSA,KOBIETA,8411,0.0003773399021850273
ALFREDA,KOBIETA,8366,0.00037532108211626894
YEVHENIIA,KOBIETA,8331,0.00037375088872945695
APOLONIA,KOBIETA,8036,0.0003605164016120413
ROMANA,KOBIETA,7941,0.0003562544481335515
MELANIA,KOBIETA,7862,0.0003527102973461758
INGA,KOBIETA,7857,0.0003524859840052026
JESSICA,KOBIETA,7661,0.00034369290103905526
ANHELINA,KOBIETA,7609,0.0003413600422929346
ELENA,KOBIETA,7551,0.00033875800753764606
DARYNA,KOBIETA,7484,0.0003357522087686059
ADA,KOBIETA,7467,0.0003349895434092972
ELEONORA,KOBIETA,7374,0.0003308173152671967
MARZENNA,KOBIETA,7320,0.00032839473118468666
JULIANNA,KOBIETA,7307,0.0003278115164981565
ESTERA,KOBIETA,7231,0.0003244019537153647
BIANKA,KOBIETA,7046,0.0003161023600993582
LUDWIKA,KOBIETA,7034,0.00031556400808102267
MARHARYTA,KOBIETA,7006,0.00031430785337157306
LESIA,KOBIETA,6958,0.0003121544452982309
MILANA,KOBIETA,6851,0.0003073541398014055
SOFIA,KOBIETA,6769,0.0003036754010094459
BERNADETTA,KOBIETA,6619,0.00029694600078025154
ZENONA,KOBIETA,6585,0.0002954206700616341
WACŁAWA,KOBIETA,6387,0.0002865378617590975
KARYNA,KOBIETA,6276,0.00028155810558949364
ZLATA,KOBIETA,6249,0.00028034681354823865
KIRA,KOBIETA,6240,0.000279943049534487
ULIANA,KOBIETA,6189,0.0002776550534565609
ALISA,KOBIETA,6130,0.00027500815603307777
DONATA,KOBIETA,6084,0.00027294447329612485
WALENTYNA,KOBIETA,6063,0.0002720023572640376
LUDMIŁA,KOBIETA,6054,0.00027159859325028593
ANETTA,KOBIETA,6038,0.00027088079055917187
YEVA,KOBIETA,5971,0.0002678749917901317
LIDIIA,KOBIETA,5924,0.00026576644638498417
MAYA,KOBIETA,5913,0.00026527295703484324
OLESIA,KOBIETA,5905,0.0002649140556892862
FELICJA,KOBIETA,5903,0.00026482433035289693
LILIA,KOBIETA,5888,0.0002641513903299775
RITA,KOBIETA,5855,0.0002626709222795547
IDA,KOBIETA,5731,0.0002571079514234207
HILDEGARDA,KOBIETA,5683,0.00025495454335007847
ZENOBIA,KOBIETA,5649,0.00025342921263146105
EMMA,KOBIETA,5614,0.00025185901924464906
AMANDA,KOBIETA,5561,0.0002494812978303337
ROMUALDA,KOBIETA,5515,0.00024741761509338074
KSENIIA,KOBIETA,5430,0.00024360428829683724
MYROSLAVA,KOBIETA,5369,0.00024086766553696486
OTYLIA,KOBIETA,5369,0.00024086766553696486
KRISTINA,KOBIETA,5289,0.00023727865208139452
ARINA,KOBIETA,5256,0.00023579818403097176
GIZELA,KOBIETA,5242,0.00023517010667624695
RUSLANA,KOBIETA,5127,0.00023001089983386457
IRMINA,KOBIETA,5074,0.00022763317841954922
ALBINA,KOBIETA,5043,0.0002262424357055157
DARIIA,KOBIETA,4896,0.0002196476234809052
VITA,KOBIETA,4877,0.00021879523278520724
VIKTORIA,KOBIETA,4833,0.00021682127538464355
LILLA,KOBIETA,4715,0.00021152748053767729
SŁAWOMIRA,KOBIETA,4706,0.00021112371652392563
BERNARDA,KOBIETA,4599,0.00020632341102710028
ALENA,KOBIETA,4586,0.0002057401963405701
ERYKA,KOBIETA,4581,0.00020551588299959694
PELAGIA,KOBIETA,4536,0.00020349706293083865
ANGELINA,KOBIETA,4536,0.00020349706293083865
GAJA,KOBIETA,4468,0.00020044640149360384
SOLOMIIA,KOBIETA,4456,0.00019990804947526828
ANASTASIYA,KOBIETA,4362,0.00019569095866497313
YULIYA,KOBIETA,4338,0.00019461425462830202
LONGINA,KOBIETA,4285,0.00019223653321398667
WALERIA,KOBIETA,4149,0.00018613521033951708
RYSZARDA,KOBIETA,4124,0.00018501364363465134
VLADYSLAVA,KOBIETA,4114,0.00018456501695270506
KAMILLA,KOBIETA,4063,0.00018227702087477896
TEODOZJA,KOBIETA,4048,0.00018160408085185953
TEODORA,KOBIETA,3970,0.00017810479273267844
IRINA,KOBIETA,3910,0.00017541303264100068
ALEXANDRA,KOBIETA,3894,0.0001746952299498866
ZHANNA,KOBIETA,3880,0.0001740671525951618
RAISA,KOBIETA,3838,0.00017218292053098737
MIRELA,KOBIETA,3832,0.0001719137445218196
TATSIANA,KOBIETA,3791,0.00017007437512583977
ADELAJDA,KOBIETA,3732,0.00016742747770235664
ZOJA,KOBIETA,3725,0.00016711343902499424
LILA,KOBIETA,3713,0.00016657508700665868
VARVARA,KOBIETA,3700,0.00016599187232012853
VOLHA,KOBIETA,3654,0.00016392818958317555
FAUSTYNA,KOBIETA,3625,0.00016262717220553132
ANZHELA,KOBIETA,3616,0.00016222340819177966
KATSIARYNA,KOBIETA,3559,0.00015966623610468578
NATALIYA,KOBIETA,3496,0.00015683988800842413
MARINA,KOBIETA,3492,0.00015666043733564562
MARIYA,KOBIETA,3464,0.00015540428262619598
BOHDANA,KOBIETA,3440,0.0001543275785895249
SAMANTA,KOBIETA,3435,0.00015410326524855175
ANASTASIA,KOBIETA,3413,0.0001531162865482699
OLIMPIA,KOBIETA,3386,0.0001519049945070149
NATALLIA,KOBIETA,3368,0.0001510974664795116
EVA,KOBIETA,3349,0.00015024507578381363
KSENIA,KOBIETA,3238,0.00014526531961420977
MARCELA,KOBIETA,3195,0.0001433362248818407
MARYLA,KOBIETA,3193,0.00014324649954545145
JAGNA,KOBIETA,3146,0.00014113795414030388
GALYNA,KOBIETA,3075,0.0001379527046984852
LUCJA,KOBIETA,3028,0.00013584415929333762
YAROSLAVA,KOBIETA,3019,0.00013544039527958594
NEL,KOBIETA,3000,0.00013458800458388798
SNIZHANA,KOBIETA,2997,0.0001344534165793041
ZYTA,KOBIETA,2966,0.00013306267386527059
OKTAWIA,KOBIETA,2952,0.00013243459651054578
KONSTANCJA,KOBIETA,2914,0.00013072981511914986
DARYA,KOBIETA,2893,0.00012978769908706265
PAMELA,KOBIETA,2796,0.0001254360202721836
LEONARDA,KOBIETA,2758,0.00012373123888078768
ZORIANA,KOBIETA,2749,0.00012332747486703603
FELIKSA,KOBIETA,2716,0.00012184700681661326
EMILIIA,KOBIETA,2707,0.00012144324280286159
WANESSA,KOBIETA,2702,0.00012121892946188844
NOEMI,KOBIETA,2692,0.00012077030277994215
CLAUDIA,KOBIETA,2673,0.0001199179120842442
TETYANA,KOBIETA,2642,0.00011852716937021069
NIKOL,KOBIETA,2604,0.00011682238797881477
SOPHIE,KOBIETA,2559,0.00011480356791005646
EVELINA,KOBIETA,2545,0.00011417549055533164
EMILY,KOBIETA,2542,0.00011404090255074775
BOGNA,KOBIETA,2510,0.00011260529716851962
MARYIA,KOBIETA,2497,0.00011202208248198944
IULIIA,KOBIETA,2492,0.00011179776914101629
MIRELLA,KOBIETA,2474,0.00011099024111351296
ANZHELIKA,KOBIETA,2440,0.00010946491039489556
STELLA,KOBIETA,2391,0.00010726663965335872
INEZ,KOBIETA,2374,0.00010650397429405003
LEA,KOBIETA,2364,0.00010605534761210373
GANNA,KOBIETA,2344,0.00010515809424821115
MICHELLE,KOBIETA,2288,0.00010264578482931191
ZINAIDA,KOBIETA,2284,0.00010246633415653338
TOLA,KOBIETA,2272,0.00010192798213819784
KRZYSZTOFA,KOBIETA,2270,0.00010183825680180857
ZOIA,KOBIETA,2237,0.00010035778875138581
NELIA,KOBIETA,2187,9.811465534165435e-05
SARAH,KOBIETA,2171,9.739685265054027e-05
OLA,KOBIETA,2169,9.730712731415101e-05
JAŚMINA,KOBIETA,2159,9.685850063220472e-05
VALENTINA,KOBIETA,2147,9.632014861386916e-05
BOLESŁAWA,KOBIETA,2144,9.618556060928529e-05
SVETLANA,KOBIETA,2126,9.537803258178195e-05
NADZIEJA,KOBIETA,2122,9.519858190900344e-05
ANGELA,KOBIETA,2118,9.501913123622492e-05
EDWARDA,KOBIETA,2098,9.412187787233233e-05
MILA,KOBIETA,2088,9.367325119038603e-05
VIKTORYIA,KOBIETA,2082,9.340407518121827e-05
ELFRYDA,KOBIETA,2064,9.259654715371493e-05
LIUDMILA,KOBIETA,2056,9.22376458081579e-05
GALINA,KOBIETA,2044,9.169929378982235e-05
MIRIAM,KOBIETA,1990,8.927670970731236e-05
ANA,KOBIETA,1971,8.842431901161441e-05
SALOMEA,KOBIETA,1965,8.815514300244663e-05
SVIATLANA,KOBIETA,1957,8.779624165688959e-05
TAISIIA,KOBIETA,1952,8.757192831591645e-05
INES,KOBIETA,1947,8.73476149749433e-05
LARA,KOBIETA,1936,8.685412562480238e-05
NATALIE,KOBIETA,1888,8.470071755146017e-05
EDELTRAUDA,KOBIETA,1872,8.39829148603461e-05
ANTONIA,KOBIETA,1831,8.21435454643663e-05
VITALINA,KOBIETA,1791,8.034903873658112e-05
LINA,KOBIETA,1782,7.994527472282947e-05
MARIETTA,KOBIETA,1774,7.958637337727243e-05
IZA,KOBIETA,1773,7.95415107090778e-05
ROMA,KOBIETA,1773,7.95415107090778e-05
SOPHIA,KOBIETA,1758,7.886857068615835e-05
VASYLYNA,KOBIETA,1756,7.87788453497691e-05
ALIAKSANDRA,KOBIETA,1742,7.815076799504428e-05
ARLETTA,KOBIETA,1717,7.702920129017856e-05
MAIIA,KOBIETA,1712,7.680488794920541e-05
ADELINA,KOBIETA,1705,7.6490849271843e-05
KLEMENTYNA,KOBIETA,1705,7.6490849271843e-05
ERIKA,KOBIETA,1704,7.644598660364838e-05
MANUELA,KOBIETA,1695,7.604222258989671e-05
ELINA,KOBIETA,1674,7.51001065578095e-05
KLAUDYNA,KOBIETA,1642,7.366450117558136e-05
VERONICA,KOBIETA,1640,7.35747758391921e-05
AMINA,KOBIETA,1615,7.245320913432637e-05
MARGARITA,KOBIETA,1569,7.038952639737341e-05
RUTA,KOBIETA,1568,7.034466372917879e-05
NADIYA,KOBIETA,1563,7.012035038820565e-05
GRETA,KOBIETA,1552,6.962686103806471e-05
YANINA,KOBIETA,1544,6.926795969250769e-05
SOFIYA,KOBIETA,1542,6.917823435611842e-05
LIVIA,KOBIETA,1534,6.88193330105614e-05
WIERA,KOBIETA,1519,6.814639298764195e-05
LYUDMYLA,KOBIETA,1514,6.792207964666881e-05
HELGA,KOBIETA,1512,6.783235431027954e-05
JANA,KOBIETA,1505,6.751831563291714e-05
ANDREA,KOBIETA,1490,6.68453756099977e-05
NIKA,KOBIETA,1489,6.680051294180307e-05
FLORENTYNA,KOBIETA,1477,6.626216092346751e-05
MARTINA,KOBIETA,1466,6.57686715733266e-05
ALA,KOBIETA,1443,6.473683020485012e-05
GERDA,KOBIETA,1419,6.366012616817902e-05
GLORIA,KOBIETA,1403,6.294232347706495e-05
KSENIYA,KOBIETA,1401,6.285259814067569e-05
ROKSOLANA,KOBIETA,1386,6.217965811775624e-05
LYUBOV,KOBIETA,1380,6.191048210858848e-05
DOBROSŁAWA,KOBIETA,1373,6.159644343122606e-05
EKATERINA,KOBIETA,1351,6.060946473094422e-05
ISABELLA,KOBIETA,1340,6.01159753808033e-05
MIRA,KOBIETA,1335,5.9891662039830156e-05
YARYNA,KOBIETA,1332,5.975707403524627e-05
MALINA,KOBIETA,1325,5.944303535788386e-05
INA,KOBIETA,1319,5.9173859348716086e-05
LINDA,KOBIETA,1308,5.868036999857516e-05
EULALIA,KOBIETA,1304,5.850091932579665e-05
VALERIA,KOBIETA,1298,5.823174331662887e-05
IRMGARDA,KOBIETA,1292,5.796256730746109e-05
VIKTORIYA,KOBIETA,1288,5.7783116634682576e-05
KATERINA,KOBIETA,1285,5.764852863009869e-05
JENNIFER,KOBIETA,1281,5.746907795732017e-05
JAROSŁAWA,KOBIETA,1279,5.737935262093091e-05
YELIZAVETA,KOBIETA,1278,5.7334489952736284e-05
BERNARDYNA,KOBIETA,1277,5.728962728454165e-05
NICOL,KOBIETA,1276,5.724476461634702e-05
PATRICIA,KOBIETA,1270,5.697558860717925e-05
SABRINA,KOBIETA,1255,5.630264858425981e-05
ELLA,KOBIETA,1237,5.549512055675648e-05
VIOLETA,KOBIETA,1233,5.531566988397796e-05
ARIANA,KOBIETA,1231,5.5225944547588704e-05
VERANIKA,KOBIETA,1221,5.477731786564241e-05
ELVIRA,KOBIETA,1220,5.473245519744778e-05
DINA,KOBIETA,1218,5.464272986105852e-05
HANNAH,KOBIETA,1214,5.446327918828e-05
BOGDANA,KOBIETA,1209,5.4238965847306855e-05
WANESA,KOBIETA,1207,5.41492405109176e-05
MARCJANNA,KOBIETA,1205,5.405951517452834e-05
ELIZABETH,KOBIETA,1189,5.334171248341427e-05
MAJKA,KOBIETA,1181,5.2982811137857235e-05
HANKA,KOBIETA,1181,5.2982811137857235e-05
TEOFILA,KOBIETA,1170,5.248932178771632e-05
DŻESIKA,KOBIETA,1169,5.2444459119521685e-05
ERNA,KOBIETA,1168,5.2399596451327053e-05
MARITA,KOBIETA,1152,5.168179376021299e-05
LUDMILA,KOBIETA,1149,5.15472057556291e-05
SIMONA,KOBIETA,1148,5.150234308743447e-05
ANDRIANA,KOBIETA,1141,5.1188304410072065e-05
GABRIELLA,KOBIETA,1131,5.073967772812577e-05
ANIKA,KOBIETA,1130,5.069481505993114e-05
LARISA,KOBIETA,1127,5.056022705534725e-05
VALERYIA,KOBIETA,1126,5.0515364387152627e-05
DANA,KOBIETA,1122,5.0335913714374106e-05
PALINA,KOBIETA,1121,5.029105104617948e-05
WIRGINIA,KOBIETA,1118,5.015646304159559e-05
VERA,KOBIETA,1114,4.997701236881707e-05
LUBA,KOBIETA,1114,4.997701236881707e-05
LIANA,KOBIETA,1110,4.9797561696038556e-05
TAMILA,KOBIETA,1105,4.957324835506541e-05
ALICE,KOBIETA,1099,4.930407234589763e-05
LILY,KOBIETA,1089,4.885544566395134e-05
ALESIA,KOBIETA,1085,4.867599499117282e-05
CARMEN,KOBIETA,1081,4.8496544318394304e-05
DAJANA,KOBIETA,1072,4.809278030464264e-05
VLADA,KOBIETA,1070,4.800305496825338e-05
CAROLINE,KOBIETA,1067,4.786846696366949e-05
YULIANA,KOBIETA,1066,4.7823604295474865e-05
NAOMI,KOBIETA,1051,4.7150664272555426e-05
EMANUELA,KOBIETA,1043,4.679176292699839e-05
YULIA,KOBIETA,1039,4.661231225421987e-05
BALBINA,KOBIETA,1033,4.63431362450521e-05
DALIA,KOBIETA,1023,4.5894509563105806e-05
NIKOLETTA,KOBIETA,1020,4.575992155852192e-05
ALICIA,KOBIETA,1019,4.5715058890327285e-05
LIZAVETA,KOBIETA,1017,4.562533355393803e-05
BERENIKA,KOBIETA,986,4.423459083990452e-05
NELLY,KOBIETA,981,4.401027749893137e-05
VITALIIA,KOBIETA,976,4.3785964157958226e-05
ELIZAVETA,KOBIETA,974,4.369623882156897e-05
BIANCA,KOBIETA,953,4.275412278948175e-05
AKSANA,KOBIETA,952,4.270926012128712e-05
LILIYA,KOBIETA,949,4.257467211670323e-05
RAMONA,KOBIETA,948,4.2529809448508606e-05
KUNEGUNDA,KOBIETA,936,4.199145743017305e-05
INKA,KOBIETA,934,4.190173209378379e-05
IRMA,KOBIETA,932,4.1812006757394536e-05
LILLY,KOBIETA,927,4.158769341642139e-05
DARINA,KOBIETA,923,4.140824274364287e-05
KORNELA,KOBIETA,918,4.118392940266972e-05
FILOMENA,KOBIETA,916,4.1094204066280465e-05
SEWERYNA,KOBIETA,914,4.100447872989121e-05
KRYSTSINA,KOBIETA,904,4.0555852047944915e-05
ULYANA,KOBIETA,904,4.0555852047944915e-05
MAIA,KOBIETA,902,4.046612671155565e-05
ŻAKLINA,KOBIETA,899,4.033153870697177e-05
KAYA,KOBIETA,892,4.001750002960936e-05
IDALIA,KOBIETA,891,3.9972637361414734e-05
IWONNA,KOBIETA,884,3.9658598684052324e-05
SWIETŁANA,KOBIETA,879,3.943428534307918e-05
JÓZEFINA,KOBIETA,873,3.9165109333911406e-05
MICHAELA,KOBIETA,873,3.9165109333911406e-05
BLANDYNA,KOBIETA,871,3.907538399752214e-05
AMALIA,KOBIETA,870,3.903052132932752e-05
HANA,KOBIETA,866,3.8851070656548996e-05
NADZEYA,KOBIETA,864,3.876134532015974e-05
STEFANIIA,KOBIETA,859,3.853703197918659e-05
CRISTINA,KOBIETA,857,3.8447306642797335e-05
BENEDYKTA,KOBIETA,857,3.8447306642797335e-05
CAROLINA,KOBIETA,856,3.8402443974602704e-05
EMILA,KOBIETA,851,3.817813063362956e-05
INGRID,KOBIETA,848,3.804354262904567e-05
MELANIIA,KOBIETA,845,3.7908954624461786e-05
LUBOMIRA,KOBIETA,843,3.781922928807252e-05
LIGIA,KOBIETA,839,3.763977861529401e-05
ABIGAIL,KOBIETA,838,3.7594915947099376e-05
NASTASSIA,KOBIETA,823,3.692197592417994e-05
MARIAM,KOBIETA,820,3.678738791959605e-05
MELISA,KOBIETA,818,3.669766258320679e-05
SYBILLA,KOBIETA,815,3.65630745786229e-05
MARIE,KOBIETA,810,3.6338761237649756e-05
GABRYELA,KOBIETA,798,3.5800409219314206e-05
ZOE,KOBIETA,796,3.571068388292494e-05
LEONTYNA,KOBIETA,788,3.5351782537367914e-05
ROXANA,KOBIETA,782,3.5082606528200135e-05
ALIONA,KOBIETA,780,3.499288119181088e-05
MELISSA,KOBIETA,779,3.4948018523616246e-05
CELESTYNA,KOBIETA,772,3.463397984625384e-05
LEILA,KOBIETA,771,3.458911717805921e-05
MONICA,KOBIETA,770,3.4544254509864586e-05
GRACJANA,KOBIETA,766,3.4364803837086065e-05
