first_name,count,prob
LUDWIKA,7034,0.00031556400808102267
MARHARYTA,7006,0.00031430785337157306
LESIA,6958,0.0003121544452982309
MILANA,6851,0.0003073541398014055
SOFIA,6769,0.0003036754010094459
BERNADETTA,6619,0.00029694600078025154
ZENONA,6585,0.0002954206700616341
WACŁAWA,6387,0.0002865378617590975
KARYNA,6276,0.00028155810558949364
ZLATA,6249,0.00028034681354823865
KIRA,6240,0.000279943049534487
ULIANA,6189,0.0002776550534565609
ALISA,6130,0.00027500815603307777
DONATA,6084,0.00027294447329612485
WALENTYNA,6063,0.0002720023572640376
LUDMIŁA,6054,0.00027159859325028593
ANETTA,6038,0.00027088079055917187
YEVA,5971,0.0002678749917901317
LIDIIA,5924,0.00026576644638498417
MAYA,5913,0.00026527295703484324
OLESIA,5905,0.0002649140556892862
FELICJA,5903,0.00026482433035289693
LILIA,5888,0.0002641513903299775
RITA,5855,0.0002626709222795547
IDA,5731,0.0002571079514234207
HILDEGARDA,5683,0.00025495454335007847
ZENOBIA,5649,0.00025342921263146105
EMMA,5614,0.00025185901924464906
AMANDA,5561,0.0002494812978303337
ROMUALDA,5515,0.00024741761509338074
KSENIIA,5430,0.00024360428829683724
MYROSLAVA,5369,0.00024086766553696486
OTYLIA,5369,0.00024086766553696486
KRISTINA,5289,0.00023727865208139452
ARINA,5256,0.00023579818403097176
GIZELA,5242,0.00023517010667624695
RUSLANA,5127,0.00023001089983386457
IRMINA,5074,0.00022763317841954922
ALBINA,5043,0.0002262424357055157
DARIIA,4896,0.0002196476234809052
VITA,4877,0.00021879523278520724
VIKTORIA,4833,0.00021682127538464355
LILLA,4715,0.00021152748053767729
SŁAWOMIRA,4706,0.00021112371652392563
BERNARDA,4599,0.00020632341102710028
ALENA,4586,0.0002057401963405701
ERYKA,4581,0.00020551588299959694
PELAGIA,4536,0.00020349706293083865
ANGELINA,4536,0.00020349706293083865
GAJA,4468,0.00020044640149360384
SOLOMIIA,4456,0.00019990804947526828
ANASTASIYA,4362,0.00019569095866497313
YULIYA,4338,0.00019461425462830202
LONGINA,4285,0.00019223653321398667
WALERIA,4149,0.00018613521033951708
RYSZARDA,4124,0.00018501364363465134
VLADYSLAVA,4114,0.00018456501695270506
KAMILLA,4063,0.00018227702087477896
TEODOZJA,4048,0.00018160408085185953
TEODORA,3970,0.00017810479273267844
IRINA,3910,0.00017541303264100068
ALEXANDRA,3894,0.0001746952299498866
ZHANNA,3880,0.0001740671525951618
RAISA,3838,0.00017218292053098737
MIRELA,3832,0.0001719137445218196
TATSIANA,3791,0.00017007437512583977
ADELAJDA,3732,0.00016742747770235664
ZOJA,3725,0.00016711343902499424
LILA,3713,0.00016657508700665868
VARVARA,3700,0.00016599187232012853
VOLHA,3654,0.00016392818958317555
FAUSTYNA,3625,0.00016262717220553132
ANZHELA,3616,0.00016222340819177966
KATSIARYNA,3559,0.00015966623610468578
NATALIYA,3496,0.00015683988800842413
MARINA,3492,0.00015666043733564562
MARIYA,3464,0.00015540428262619598
BOHDANA,3440,0.0001543275785895249
SAMANTA,3435,0.00015410326524855175
ANASTASIA,3413,0.0001531162865482699
OLIMPIA,3386,0.0001519049945070149
NATALLIA,3368,0.0001510974664795116
EVA,3349,0.00015024507578381363
KSENIA,3238,0.00014526531961420977
MARCELA,3195,0.0001433362248818407
MARYLA,3193,0.00014324649954545145
JAGNA,3146,0.00014113795414030388
GALYNA,3075,0.0001379527046984852
LUCJA,3028,0.00013584415929333762
YAROSLAVA,3019,0.00013544039527958594
NEL,3000,0.00013458800458388798
