last_name,amount,prob
KIETLIŃSKA,640,3.723875341643743e-05
MICHNOWSKA,640,3.723875341643743e-05
ROMANCHUK,640,3.723875341643743e-05
SZYLAR,640,3.723875341643743e-05
WOCHNIK,640,3.723875341643743e-05
BIENIA,639,3.7180567864224244e-05
DWORCZAK,639,3.7180567864224244e-05
DZIEWIT,639,3.7180567864224244e-05
KOSNO,639,3.7180567864224244e-05
OLMA,639,3.7180567864224244e-05
PSZCZÓŁKA,639,3.7180567864224244e-05
TARASOVA,639,3.7180567864224244e-05
WIESIOŁEK,639,3.7180567864224244e-05
ZACZYŃSKA,639,3.7180567864224244e-05
BAFIA,638,3.7122382312011064e-05
BYSZEWSKA,638,3.7122382312011064e-05
CEBO,638,3.7122382312011064e-05
OKNIŃSKA,638,3.7122382312011064e-05
PECIAK,638,3.7122382312011064e-05
PRZEWOŹNIAK,638,3.7122382312011064e-05
RYDLEWSKA,638,3.7122382312011064e-05
SOŁEK,638,3.7122382312011064e-05
STEIN,638,3.7122382312011064e-05
SZAMBELAN,638,3.7122382312011064e-05
ŻOŁNIERCZYK,638,3.7122382312011064e-05
BARTEL,637,3.706419675979788e-05
KASICA,637,3.706419675979788e-05
KOKOSIŃSKA,637,3.706419675979788e-05
KUNERT,637,3.706419675979788e-05
MOJ,637,3.706419675979788e-05
RACZKIEWICZ,637,3.706419675979788e-05
RZESZUTKO,637,3.706419675979788e-05
SZKLAREK,637,3.706419675979788e-05
WIELECHOWSKA,637,3.706419675979788e-05
WOŁKOWICZ,637,3.706419675979788e-05
BRAŃSKA,636,3.70060112075847e-05
DZIECHCIARZ,636,3.70060112075847e-05
JASZCZYSZYN,636,3.70060112075847e-05
KAPUSTKA,636,3.70060112075847e-05
MASZKOWSKA,636,3.70060112075847e-05
MYSTKOWSKA,636,3.70060112075847e-05
OSTAPCZUK,636,3.70060112075847e-05
RADKE,636,3.70060112075847e-05
SKŁADANOWSKA,636,3.70060112075847e-05
SMALEC,636,3.70060112075847e-05
WOJTUNIK,636,3.70060112075847e-05
ZDEBSKA,636,3.70060112075847e-05
BROŃSKA,635,3.694782565537151e-05
DZIUBAN,635,3.694782565537151e-05
GOROL,635,3.694782565537151e-05
HADAM,635,3.694782565537151e-05
KANDORA,635,3.694782565537151e-05
KLAJA,635,3.694782565537151e-05
KOCUREK,635,3.694782565537151e-05
KORDECKA,635,3.694782565537151e-05
PASIERBEK,635,3.694782565537151e-05
PODGAJNA,635,3.694782565537151e-05
STAWINOGA,635,3.694782565537151e-05
SZCZERBIAK,635,3.694782565537151e-05
WOWRA,635,3.694782565537151e-05
CHLEBICKA,634,3.688964010315833e-05
KŁOSOWICZ,634,3.688964010315833e-05
